,content,date,text,Length,sid_sentiment,finbert_label
37,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2328000000,frenzi small investor pend stir much interest among individu,9,0.4588,0
38,"['took', 'price', 'offer', 'share']",20140912 2325130000,took price offer share,4,0.296,0
39,"['shake', 'tara', 'tara', 'morn']",20140912 2322280000,shake tara tara morn,4,-0.1779,0
40,"['arent', 'equal', 'amid', 'demand', 'via']",20140912 2321500000,arent equal amid demand via,5,0.0951,0
41,"['said', 'profit', 'even', 'snub']",20140912 2315060000,said profit even snub,4,0.0258,0
42,"['anoth', 'way', 'ahead', 'pro']",20140912 2315050000,anoth way ahead pro,4,0.0,0
43,"['take', 'stock', 'discuss']",20140912 2315040000,take stock discuss,3,0.0,0
44,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price', 'via']",20140912 2314410000,dont worri retail abl buy near price via,8,0.0,0
45,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2314110000,frenzi small investor pend stir much interest among individu,9,0.4588,0
46,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2314070000,frenzi small investor pend stir much interest among individu,9,0.4588,0
47,"['oligarch', 'look', 'us', 'via']",20140912 2314060000,oligarch look us via,4,0.0,0
48,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among']",20140912 2314010000,frenzi small investor pend stir much interest among,8,0.4588,0
49,"['tech', 'news', 'frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among']",20140912 2310560000,tech news frenzi small investor pend stir much interest among,10,0.4588,0
50,"['cant', 'join']",20140912 2310330000,cant join,2,-0.2235,0
51,"['set', 'rais']",20140912 2310130000,set rais,2,0.0,0
52,"['cant', 'join']",20140912 2310110000,cant join,2,-0.2235,0
53,"['cours', 'done', 'hong', 'later', 'went', 'later', 'bit', 'caution', 'might', 'help']",20140912 2309410000,cours done hong later went later bit caution might help,10,0.4019,0
54,"['shake', 'tara', 'tara', 'morn']",20140912 2307110000,shake tara tara morn,4,-0.1779,0
55,"['thank', 'small', 'want', 'piec', 'buy', 'yahoo']",20140912 2303410000,thank small want piec buy yahoo,6,0.4215,0
56,['regard'],20140912 2301270000,regard,1,0.0,0
57,['para'],20140912 2300120000,para,1,0.0,0
58,"['drop', 'billion', 'lap']",20140912 2258430000,drop billion lap,3,-0.2732,0
59,"['fed', 'may', 'lay', 'groundwork', 'rate', 'hike', 'week', 'ahead']",20140912 2255250000,fed may lay groundwork rate hike week ahead,8,0.0,0
60,"['anoth', 'way', 'ahead', 'pro']",20140912 2255240000,anoth way ahead pro,4,0.0,0
61,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2253410000,dont worri retail abl buy near price,7,0.0,0
62,"['cant', 'join']",20140912 2253330000,cant join,2,-0.2235,0
63,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2253240000,dont worri retail abl buy near price,7,0.0,0
64,"['cant', 'join']",20140912 2253140000,cant join,2,-0.2235,0
65,"['last', 'kingmak', 'c', 'tech', 'technolog']",20140912 2251090000,last kingmak c tech technolog,5,0.0,0
66,"['cant', 'join']",20140912 2248250000,cant join,2,-0.2235,0
67,"['cant', 'join']",20140912 2248240000,cant join,2,-0.2235,0
68,"['close', 'earli', 'sell', 'new', 'york', 'post']",20140912 2248080000,close earli sell new york post,6,0.0,0
69,"['anoth', 'way', 'ahead', 'pro']",20140912 2245500000,anoth way ahead pro,4,0.0,0
70,"['dont', 'worri', 'retail', 'abl', 'buy', 'near']",20140912 2245460000,dont worri retail abl buy near,6,0.0,0
71,"['cant', 'join']",20140912 2245060000,cant join,2,-0.2235,0
72,"['track', 'becom', 'biggest', 'us', 'ever', 'three', 'fortun']",20140912 2244110000,track becom biggest us ever three fortun,7,0.0,0
73,"['us', 'china']",20140912 2244040000,us china,2,0.0,0
74,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2239540000,dont worri retail abl buy near price,7,0.0,0
75,"['know', 'via']",20140912 2239480000,know via,2,0.0,0
76,"['cant', 'join']",20140912 2239470000,cant join,2,-0.2235,0
77,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2239300000,frenzi small investor pend stir much interest among individu,9,0.4588,0
78,"['angri', 'fever', 'read', 'via']",20140912 2238120000,angri fever read via,4,0.0,0
79,"['add', 'counterfeit', 'product', 'tsunami', 'accompani']",20140912 2231490000,add counterfeit product tsunami accompani,5,0.0,0
80,"['stock', 'watch', 'stock', 'demand', 'strong', 'via', 'baba', 'v']",20140912 2231450000,stock watch stock demand strong via baba v,8,0.4215,1
81,"['digit', 'say', 'drop', 'billion', 'lap']",20140912 2230570000,digit say drop billion lap,5,-0.2732,0
82,"['counterfeit', 'product', 'tsunami', 'accompani']",20140912 2230290000,counterfeit product tsunami accompani,4,0.0,0
83,"['giant', 'wed', 'knock', 'top', 'tech', 'whop', 'rais', 'wo']",20140912 2230280000,giant wed knock top tech whop rais wo,8,0.2023,0
84,"['de', 'para']",20140912 2230080000,de para,2,0.0,0
85,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among']",20140912 2229460000,frenzi small investor pend stir much interest among,8,0.4588,0
86,"['drop', 'billion', 'lap']",20140912 2229260000,drop billion lap,3,-0.2732,0
87,"['way', 'ahead']",20140912 2228360000,way ahead,2,0.0,0
88,"['close', 'order', 'earli']",20140912 2228050000,close order earli,3,0.0,0
89,"['close', 'order', 'earli']",20140912 2228030000,close order earli,3,0.0,0
90,"['close', 'order', 'earli', 'group', 'enough', 'demand', 'cover', 'deal', 'within']",20140912 2228020000,close order earli group enough demand cover deal within,9,-0.128,0
91,"['yahoo', 'close', 'high', 'ahead', 'next']",20140912 2226590000,yahoo close high ahead next,5,0.0,1
92,"['seek', 'gener', 'highest', 'amount', 'ever', 'us', 'histori']",20140912 2226180000,seek gener highest amount ever us histori,7,0.0,0
93,"['stock', 'counterfeit', 'product', 'tsunami', 'accompani']",20140912 2225250000,stock counterfeit product tsunami accompani,5,0.0,0
94,"['fed', 'may', 'lay', 'groundwork', 'rate', 'hike', 'week', 'ahead']",20140912 2224050000,fed may lay groundwork rate hike week ahead,8,0.0,0
95,"['track', 'biggest', 'us', 'ever']",20140912 2222580000,track biggest us ever,4,0.0,0
96,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221310000,frenzi small investor pend stir much interest among individu,9,0.4588,0
97,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221250000,frenzi small investor pend stir much interest among individu,9,0.4588,0
98,"['close', 'order', 'earli', 'via']",20140912 2221230000,close order earli via,4,0.0,0
99,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221200000,frenzi small investor pend stir much interest among individu,9,0.4588,0
100,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221180000,frenzi small investor pend stir much interest among individu,9,0.4588,0
101,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221150000,frenzi small investor pend stir much interest among individu,9,0.4588,0
102,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221120000,frenzi small investor pend stir much interest among individu,9,0.4588,0
103,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2221060000,frenzi small investor pend stir much interest among individu,9,0.4588,0
104,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2219410000,frenzi small investor pend stir much interest among individu,9,0.4588,0
105,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2219380000,frenzi small investor pend stir much interest among individu,9,0.4588,0
106,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2219320000,frenzi small investor pend stir much interest among individu,9,0.4588,0
107,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2219150000,frenzi small investor pend stir much interest among individu,9,0.4588,0
108,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2219130000,frenzi small investor pend stir much interest among individu,9,0.4588,0
109,"['could', 'get', 'via']",20140912 2218440000,could get via,3,0.0,0
110,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much']",20140912 2218240000,frenzi small investor pend stir much,6,0.0,0
111,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among', 'individu']",20140912 2218210000,frenzi small investor pend stir much interest among individu,9,0.4588,0
112,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'compani', 'start']",20140912 2218090000,drop billion lap nigh next week compani start,8,-0.2732,0
113,"['video', 'stop', 'take', 'earli']",20140912 2215460000,video stop take earli,4,-0.296,0
114,"['biz', 'break', 'yahoo', 'gain', 'everyon', 'piec', 'san', 'news']",20140912 2214560000,biz break yahoo gain everyon piec san news,8,0.5267,0
115,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest']",20140912 2214170000,frenzi small investor pend stir much interest,7,0.4588,0
116,"['next', 'hope', 'u', 'got', 'yahoo', 'prior', 'recent', 'run', 'higher']",20140912 2213290000,next hope u got yahoo prior recent run higher,9,0.4404,0
117,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2213170000,dont worri retail abl buy near price,7,0.0,0
118,"['e', 'se', 'da']",20140912 2212090000,e se da,3,0.0,0
119,"['drop', 'billion', 'lap']",20140912 2211450000,drop billion lap,3,-0.2732,0
120,"['close', 'order', 'earli', 'group', 'enough', 'demand', 'cover', 'deal', 'within']",20140912 2210470000,close order earli group enough demand cover deal within,9,-0.128,0
121,"['money', 'morn', 'shake', 'tara']",20140912 2210430000,money morn shake tara,4,-0.1779,0
122,"['yahoo', 'high', 'ahead', 'next', 'news']",20140912 2210400000,yahoo high ahead next news,5,0.0,0
123,"['money', 'morn', 'shake', 'tara']",20140912 2210400000,money morn shake tara,4,-0.1779,0
124,"['money', 'morn', 'shake', 'tara']",20140912 2210400000,money morn shake tara,4,-0.1779,0
125,"['drop', 'billion', 'lap']",20140912 2210040000,drop billion lap,3,-0.2732,0
126,"['news', 'updat', 'close', 'order', 'earli', 'group', 'enough', 'demand', 'cover', 'de']",20140912 2209420000,news updat close order earli group enough demand cover de,10,-0.128,0
127,"['order', 'may', 'shut', 'afternoon']",20140912 2209250000,order may shut afternoon,4,0.0,-1
128,"['frenzi', 'small', 'investor', 'pend', 'stir', 'much', 'interest', 'among']",20140912 2208530000,frenzi small investor pend stir much interest among,8,0.4588,0
129,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2208270000,dont worri retail abl buy near price,7,0.0,0
130,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2206430000,dont worri retail abl buy near price,7,0.0,0
131,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2206360000,dont worri retail abl buy near price,7,0.0,0
132,"['anoth', 'way', 'ahead', 'pro', 'baba']",20140912 2204440000,anoth way ahead pro baba,5,0.0,0
133,"['nigh', 'next', 'week', 'compani', 'start', 'trade', 'new', 'york', 'stock']",20140912 2203470000,nigh next week compani start trade new york stock,9,0.0,0
134,"['drop', 'billion', 'lap']",20140912 2202420000,drop billion lap,3,-0.2732,0
135,"['drop', 'billion', 'lap']",20140912 2202400000,drop billion lap,3,-0.2732,0
136,"['financ', 'technolog', 'close', 'order', 'earli', 'group', 'enough', 'demand', 'cover']",20140912 2202020000,financ technolog close order earli group enough demand cover,9,-0.128,0
137,"['size', 'worrisom', 'pictur', 'liquid', 'post']",20140912 2200590000,size worrisom pictur liquid post,5,0.0,-1
138,['para'],20140912 2200490000,para,1,0.0,0
139,"['close', 'order', 'book', 'earli']",20140912 2200430000,close order book earli,4,0.0,0
140,"['drop', 'billion', 'lap']",20140912 2200380000,drop billion lap,3,-0.2732,0
141,"['arent', 'equal', 'demand']",20140912 2200350000,arent equal demand,3,0.0951,0
142,"['yahoo', 'yelp', 'acquisit']",20140912 2200350000,yahoo yelp acquisit,3,0.0,0
143,"['drop', 'billion', 'lap']",20140912 2200170000,drop billion lap,3,-0.2732,0
144,"['forget', 'doubl', 'money']",20140912 2200060000,forget doubl money,3,-0.2263,0
145,"['dont', 'look', 'sign', 'market', 'top', 'strategist']",20140912 2200060000,dont look sign market top strategist,6,0.2023,0
146,"['shouldnt', 'buy']",20140912 2159380000,shouldnt buy,2,0.0,0
147,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2154480000,dont worri retail abl buy near price,7,0.0,0
148,"['anoth', 'way', 'ahead', 'pro']",20140912 2154160000,anoth way ahead pro,4,0.0,0
149,"['yahoo', 'high', 'ahead', 'next']",20140912 2152560000,yahoo high ahead next,4,0.0,0
150,"['one', 'good', 'thing', 'go', 'yahoo', 'drop', 'billion', 'lap', 'via']",20140912 2152300000,one good thing go yahoo drop billion lap via,9,0.2023,0
151,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2151580000,dont worri retail abl buy near price,7,0.0,0
152,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2149380000,dont worri retail abl buy near price,7,0.0,0
153,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2149180000,dont worri retail abl buy near price,7,0.0,0
154,"['dont', 'worri', 'retail', 'abl', 'buy', 'near']",20140912 2148520000,dont worri retail abl buy near,6,0.0,0
155,['sept'],20140912 2148110000,sept,1,0.0,0
156,"['track', 'becom', 'biggest', 'us', 'ever', 'three', 'fortun']",20140912 2147360000,track becom biggest us ever three fortun,7,0.0,0
157,"['drop', 'billion', 'lap', 'content']",20140912 2147240000,drop billion lap content,4,-0.2732,0
158,"['crew', 'independ', 'vote']",20140912 2147180000,crew independ vote,3,0.0,0
159,"['drop', 'billion', 'lap', 'market']",20140912 2146250000,drop billion lap market,4,-0.2732,0
160,"['layman', 'get', 'access', 'stock', 'price']",20140912 2145380000,layman get access stock price,5,0.0,0
161,"['amid', 'fever', 'caution', 'global', 'market']",20140912 2145050000,amid fever caution global market,5,0.0,-1
162,"['shake', 'tara']",20140912 2144150000,shake tara,2,-0.1779,0
163,"['us', 'slip', 'yahoo', 'gain']",20140912 2143480000,us slip yahoo gain,4,0.5267,0
164,"['via', 'drop', 'billion', 'yahoo', 'lap']",20140912 2143370000,via drop billion yahoo lap,5,-0.2732,0
165,"['buy', 'stock']",20140912 2143150000,buy stock,2,0.0,0
166,"['demand', 'strong', 'may', 'close', 'deal', 'earli', 'boost', 'price', 'baba']",20140912 2142030000,demand strong may close deal earli boost price baba,9,0.6705,1
167,"['drop', 'billion', 'lap']",20140912 2140220000,drop billion lap,3,-0.2732,0
168,"['drop', 'billion', 'lap']",20140912 2140210000,drop billion lap,3,-0.2732,0
169,"['drop', 'billion', 'lap']",20140912 2139490000,drop billion lap,3,-0.2732,0
170,"['drop', 'billion', 'lap']",20140912 2139490000,drop billion lap,3,-0.2732,0
171,"['drop', 'billion', 'lap', 'nigh', 'next', 'week']",20140912 2139490000,drop billion lap nigh next week,6,-0.2732,-1
172,"['sell', 'foreign', 'china', 'without', 'commun']",20140912 2139440000,sell foreign china without commun,5,0.0,0
173,"['speak', 'gross', 'merchandis', 'top', 'combin']",20140912 2139030000,speak gross merchandis top combin,5,-0.3182,0
174,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2138470000,dont worri retail abl buy near price,7,0.0,0
175,"['drop', 'billion', 'lap', 'via']",20140912 2138460000,drop billion lap via,4,-0.2732,0
176,"['yahoo', 'close', 'high', 'ahead', 'next']",20140912 2138210000,yahoo close high ahead next,5,0.0,1
177,"['shake', 'tara']",20140912 2138210000,shake tara,2,-0.1779,0
178,"['us', 'china']",20140912 2137240000,us china,2,0.0,0
179,"['yahoo', 'close', 'high', 'ahead', 'next', 'new', 'york', 'yahoo']",20140912 2137120000,yahoo close high ahead next new york yahoo,8,0.0,0
180,"['shouldnt', 'buy']",20140912 2135490000,shouldnt buy,2,0.0,0
181,"['pay', 'attent']",20140912 2135300000,pay attent,2,-0.1027,0
182,"['drop', 'billion', 'lap', 'content', 'market']",20140912 2135090000,drop billion lap content market,5,-0.2732,0
183,"['drop', 'billion', 'lap', 'content']",20140912 2135090000,drop billion lap content,4,-0.2732,0
184,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2133080000,dont worri retail abl buy near price,7,0.0,0
185,"['fed', 'may', 'lay', 'groundwork', 'rate', 'hike', 'week', 'ahead']",20140912 2131440000,fed may lay groundwork rate hike week ahead,8,0.0,0
186,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'e']",20140912 2131210000,drop billion lap nigh next week e,7,-0.2732,0
187,"['close', 'order', 'book', 'earli']",20140912 2131030000,close order book earli,4,0.0,0
188,"['drop', 'billion', 'lap']",20140912 2130250000,drop billion lap,3,-0.2732,0
189,"['drop', 'billion', 'lap']",20140912 2130150000,drop billion lap,3,-0.2732,0
190,"['track', 'becom', 'biggest', 'us', 'ever', 'three', 'fortun']",20140912 2128360000,track becom biggest us ever three fortun,7,0.0,0
191,"['drop', 'billion', 'lap']",20140912 2128010000,drop billion lap,3,-0.2732,0
192,"['drop', 'billion', 'lap']",20140912 2127560000,drop billion lap,3,-0.2732,0
193,"['drop', 'billion', 'lap']",20140912 2126470000,drop billion lap,3,-0.2732,0
194,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2126230000,dont worri retail abl buy near price,7,0.0,0
196,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2125190000,dont worri retail abl buy near price,7,0.0,0
197,"['gon', 'na', 'shake', 'stuff', 'lot', 'cash', 'us', 'may', 'set', 'els']",20140912 2124540000,gon na shake stuff lot cash us may set els,10,-0.1779,0
198,"['drop', 'billion', 'lap', 'cool', 'know']",20140912 2124520000,drop billion lap cool know,5,0.0516,0
199,"['drop', 'billion', 'lap']",20140912 2124190000,drop billion lap,3,-0.2732,0
200,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2124030000,dont worri retail abl buy near price,7,0.0,0
201,"['drop', 'billion', 'lap']",20140912 2124020000,drop billion lap,3,-0.2732,0
202,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2123070000,dont worri retail abl buy near price,7,0.0,0
203,"['drop', 'billion', 'lap']",20140912 2122420000,drop billion lap,3,-0.2732,0
204,"['drop', 'billion', 'lap']",20140912 2122050000,drop billion lap,3,-0.2732,0
205,"['drop', 'billion', 'lap', 'link', 'remov', 'courtesi', 'link', 'remov']",20140912 2122040000,drop billion lap link remov courtesi link remov,8,-0.2732,0
206,"['market', 'land', 'drop', 'billion', 'lap']",20140912 2122020000,market land drop billion lap,5,-0.2732,0
207,"['drop', 'billion', 'lap', 'market']",20140912 2122010000,drop billion lap market,4,-0.2732,0
208,"['drop', 'billion', 'lap']",20140912 2122000000,drop billion lap,3,-0.2732,0
209,"['drop', 'billion', 'lap']",20140912 2121580000,drop billion lap,3,-0.2732,0
210,"['market', 'drop', 'billion', 'lap', 'market']",20140912 2121540000,market drop billion lap market,5,-0.2732,-1
211,"['drop', 'billion', 'lap']",20140912 2121460000,drop billion lap,3,-0.2732,0
212,"['drop', 'billion', 'lap', 'link', 'remov']",20140912 2121450000,drop billion lap link remov,5,-0.2732,0
213,"['drop', 'billion', 'lap']",20140912 2121400000,drop billion lap,3,-0.2732,0
214,"['new', 'post', 'drop', 'billion', 'lap']",20140912 2121390000,new post drop billion lap,5,-0.2732,0
215,"['nice', 'pun', 'disturb', 'ahead']",20140912 2121210000,nice pun disturb ahead,4,0.0258,0
216,"['drop', 'billion', 'lap', 'market']",20140912 2121170000,drop billion lap market,4,-0.2732,0
217,"['amid', 'fever', 'caution', 'market']",20140912 2120300000,amid fever caution market,4,0.0,0
218,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'market']",20140912 2120280000,drop billion lap nigh next week market,7,-0.2732,0
219,"['drop', 'billion', 'lap']",20140912 2120000000,drop billion lap,3,-0.2732,0
220,"['said', 'plan', 'earli', 'end', 'share', 'sale', 'demand', 'channel', 'said', 'speak', 'sale']",20140912 2119580000,said plan earli end share sale demand channel said speak sale,11,0.1779,0
221,"['break', 'also', 'impact', 'us', 'way', 'might', 'expect']",20140912 2119530000,break also impact us way might expect,7,0.0,0
222,"['drop', 'billion', 'lap']",20140912 2119470000,drop billion lap,3,-0.2732,0
223,['rais'],20140912 2119370000,rais,1,0.0,0
224,"['busi', 'week', 'next', 'week', 'fed', 'independ', 'vote']",20140912 2119330000,busi week next week fed independ vote,7,0.0,0
225,"['drop', 'billion', 'lap', 'nigh', 'next', 'week']",20140912 2119290000,drop billion lap nigh next week,6,-0.2732,-1
226,"['drop', 'billion', 'lap']",20140912 2119240000,drop billion lap,3,-0.2732,0
227,"['drop', 'billion', 'lap']",20140912 2118520000,drop billion lap,3,-0.2732,0
228,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2118500000,dont worri retail abl buy near price,7,0.0,0
229,"['drop', 'billion', 'lap']",20140912 2118070000,drop billion lap,3,-0.2732,0
230,"['drop', 'billion', 'lap']",20140912 2118040000,drop billion lap,3,-0.2732,0
231,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'compani', 'st']",20140912 2116310000,drop billion lap nigh next week compani st,8,-0.2732,0
232,"['video', 'close', 'order', 'book', 'earli', 'via']",20140912 2116200000,video close order book earli via,6,0.0,0
233,"['drop', 'billion', 'lap']",20140912 2116080000,drop billion lap,3,-0.2732,0
234,"['drop', 'billion', 'lap']",20140912 2115540000,drop billion lap,3,-0.2732,0
235,"['oh', 'percentag', 'come', 'high']",20140912 2115350000,oh percentag come high,4,0.0,0
236,"['yahoo', 'close', 'high', 'ahead', 'next', 'financ', 'stock']",20140912 2115250000,yahoo close high ahead next financ stock,7,0.0,1
237,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2115070000,dont worri retail abl buy near price,7,0.0,0
238,"['drop', 'billion', 'lap']",20140912 2114410000,drop billion lap,3,-0.2732,0
239,"['drop', 'billion', 'lap', 'nigh', 'next']",20140912 2114410000,drop billion lap nigh next,5,-0.2732,-1
240,"['nigh', 'next', 'week', 'compani', 'start', 'trade', 'new', 'york', 'stock', 'exchang', 'yahoo']",20140912 2114400000,nigh next week compani start trade new york stock exchang yahoo,11,0.0,0
241,"['drop', 'billion', 'lap']",20140912 2114340000,drop billion lap,3,-0.2732,0
242,"['drop', 'billion', 'lap']",20140912 2114330000,drop billion lap,3,-0.2732,0
243,"['move', 'come']",20140912 2114300000,move come,2,0.0,0
244,"['arent', 'equal', 'demand', 'heavi', 'demand', 'biggest', 'mutual', 'fund', 'w']",20140912 2114190000,arent equal demand heavi demand biggest mutual fund w,9,-0.0335,0
245,"['drop', 'billion', 'lap', 'nigh', 'next', 'week', 'compani', 'start']",20140912 2114060000,drop billion lap nigh next week compani start,8,-0.2732,0
246,"['drop', 'billion', 'lap', 'market', 'content']",20140912 2114060000,drop billion lap market content,5,-0.2732,0
247,"['dont', 'worri', 'retail', 'abl', 'buy', 'near', 'price']",20140912 2114050000,dont worri retail abl buy near price,7,0.0,0
